Time Period,COVID-19 Deaths,Total Deaths,Proportion of Covid Deaths to Total Deaths
01/01/2020 - 01/31/2020,6.0,512221.0,0.0
01/01/2020 - 10/01/2022,2110819.0,18471924.0,0.11
01/01/2021 - 01/31/2021,210340.0,742093.0,0.28
01/01/2022 - 01/31/2022,167003.0,735450.0,0.23
02/01/2020 - 02/29/2020,25.0,420643.0,0.0
02/01/2021 - 02/28/2021,96507.0,558465.0,0.17
02/01/2022 - 02/28/2022,99462.0,573081.0,0.17
03/01/2020 - 03/31/2020,13686.0,506185.0,0.03
03/01/2021 - 03/31/2021,45876.0,530683.0,0.09
03/01/2022 - 03/31/2022,30330.0,518168.0,0.06
04/01/2020 - 04/30/2020,128932.0,631365.0,0.2
04/01/2021 - 04/30/2021,37090.0,502774.0,0.07
04/01/2022 - 04/30/2022,11895.0,464869.0,0.03
05/01/2020 - 05/31/2020,75664.0,548648.0,0.14
05/01/2021 - 05/31/2021,29450.0,505738.0,0.06
05/01/2022 - 05/31/2022,14736.0,485773.0,0.03
06/01/2020 - 06/30/2020,35412.0,486001.0,0.07
06/01/2021 - 06/30/2021,15467.0,473013.0,0.03
06/01/2022 - 06/30/2022,18360.0,472481.0,0.04
07/01/2020 - 07/31/2020,61616.0,543872.0,0.11
07/01/2021 - 07/31/2021,21823.0,500695.0,0.04
07/01/2022 - 07/31/2022,25621.0,496790.0,0.05
08/01/2020 - 08/31/2020,59239.0,538582.0,0.11
08/01/2021 - 08/31/2021,97041.0,599312.0,0.16
08/01/2022 - 08/31/2022,26489.0,484086.0,0.05
09/01/2020 - 09/30/2020,37898.0,500536.0,0.08
09/01/2021 - 09/30/2021,126269.0,619302.0,0.2
09/01/2022 - 09/30/2022,15742.0,343782.0,0.05
10/01/2020 - 10/31/2020,49366.0,535903.0,0.09
10/01/2021 - 10/31/2021,84391.0,593437.0,0.14
10/01/2022 - 10/01/2022,27.0,857.0,0.03
11/01/2020 - 11/30/2020,106060.0,596598.0,0.18
11/01/2021 - 11/30/2021,63831.0,569102.0,0.11
12/01/2020 - 12/31/2020,195872.0,729294.0,0.27
12/01/2021 - 12/31/2021,90367.0,632958.0,0.14
